Type,Start,End,Length (mm)
Arc,"(391, 242)","(468, 334)",6.37098081170412
Arc,"(468, 334)","(560, 266)",6.0752936930996855
Arc,"(391, 245)","(475, 334)",6.498947808455865
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 267)",6.0438797802006565
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(390, 246)","(476, 334)",6.534217281960684
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 267)",6.0438797802006565
Arc,"(391, 245)","(475, 334)",6.498947808455865
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 267)",6.0438797802006565
Arc,"(559, 267)","(474, 204)",5.618537523501048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(560, 266)",5.73920920324602
Arc,"(560, 266)","(471, 204)",5.760054599603352
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 272)",5.979849600185171
Arc,"(561, 272)","(475, 204)",5.82214300114447
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 266)",6.161027741485936
Arc,"(561, 266)","(474, 204)",5.6732319885329465
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(473, 204)","(389, 247)",5.011267619922972
Arc,"(389, 247)","(467, 334)",6.205041343219721
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(473, 204)",5.8735020170871195
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(479, 202)","(391, 242)",5.133304766220203
Arc,"(391, 242)","(468, 334)",6.37098081170412
Arc,"(468, 334)","(560, 266)",6.0752936930996855
Arc,"(560, 266)","(479, 202)",5.482114692368449
Arc,"(475, 204)","(391, 242)",4.895985210230216
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(475, 204)",5.587079204084449
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(475, 204)","(391, 242)",4.895985210230216
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(475, 204)",5.587079204084449
Arc,"(479, 204)","(391, 242)",5.090273617871061
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(479, 204)",5.4169107064640505
Arc,"(474, 204)","(390, 246)",4.987293499153675
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 267)",6.086887333073232
Arc,"(560, 267)","(474, 204)",5.66128937659323
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(562, 266)",6.204132312839334
Arc,"(562, 266)","(474, 204)",5.716561467709448
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 267)",6.086887333073232
Arc,"(560, 267)","(474, 204)",5.66128937659323
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(473, 204)",5.8735020170871195
Arc,"(473, 204)","(390, 246)",4.939852554480881
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(473, 204)",5.747311100364828
Arc,"(474, 204)","(390, 246)",4.987293499153675
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(473, 204)","(390, 246)",4.939852554480881
Arc,"(390, 246)","(468, 334)",6.2446818885715
Arc,"(468, 334)","(561, 271)",5.965212179392924
Arc,"(561, 271)","(473, 204)",5.8735020170871195
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(475, 204)","(391, 242)",4.895985210230216
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 272)",5.979849600185171
Arc,"(561, 272)","(475, 204)",5.82214300114447
Arc,"(472, 204)","(390, 248)",4.941850241837238
Arc,"(390, 248)","(478, 336)",6.60888666620355
Arc,"(478, 336)","(561, 267)",5.731833904585642
Arc,"(561, 267)","(472, 204)",5.7905732756513935
Arc,"(474, 204)","(389, 246)",5.034847543999139
Arc,"(389, 246)","(467, 334)",6.2446818885715
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(474, 204)","(389, 247)",5.058596297699797
Arc,"(389, 247)","(467, 334)",6.205041343219721
Arc,"(467, 334)","(559, 269)",5.981971410120133
Arc,"(559, 269)","(474, 204)",5.682420621294704
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(473, 204)",5.692832988392348
Arc,"(472, 204)","(391, 245)",4.821108877275288
Arc,"(391, 245)","(479, 335)",6.684409553376437
Arc,"(479, 335)","(560, 266)",5.650569352742456
Arc,"(560, 266)","(472, 204)",5.716561467709448
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(562, 268)",6.142920851951832
Arc,"(562, 268)","(474, 204)",5.7783851474765475
Arc,"(471, 204)","(391, 245)",4.773788651964667
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(559, 266)",5.698032036759234
Arc,"(559, 266)","(471, 204)",5.716561467709448
Arc,"(471, 204)","(391, 245)",4.773788651964667
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(559, 266)",5.698032036759234
Arc,"(559, 266)","(471, 204)",5.716561467709448
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(562, 266)",6.204132312839334
Arc,"(562, 266)","(473, 204)",5.760054599603352
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(475, 204)","(391, 242)",4.895985210230216
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(475, 204)",5.587079204084449
Arc,"(478, 204)","(391, 242)",5.041564408634211
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(478, 204)",5.482114692368449
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(468, 334)",6.37098081170412
Arc,"(468, 334)","(560, 266)",6.0752936930996855
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(468, 334)",6.37098081170412
Arc,"(468, 334)","(559, 268)",5.969701654644031
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(471, 204)","(391, 245)",4.773788651964667
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(560, 266)",5.73920920324602
Arc,"(560, 266)","(471, 204)",5.760054599603352
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(474, 204)","(389, 247)",5.058596297699797
Arc,"(389, 247)","(467, 334)",6.205041343219721
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 267)",6.086887333073232
Arc,"(560, 267)","(474, 204)",5.66128937659323
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(475, 204)","(391, 242)",4.895985210230216
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(475, 204)",5.789355617499848
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 267)",6.0438797802006565
Arc,"(559, 267)","(474, 204)",5.618537523501048
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(562, 267)",6.17337404466299
Arc,"(562, 267)","(474, 204)",5.747311100364828
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(471, 204)","(390, 247)",4.869996311312158
Arc,"(390, 247)","(476, 334)",6.496343715466936
Arc,"(476, 334)","(561, 267)",5.747556434115196
Arc,"(561, 267)","(471, 204)",5.833998028361328
Arc,"(471, 204)","(391, 245)",4.773788651964667
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(561, 267)",5.747556434115196
Arc,"(561, 267)","(471, 204)",5.833998028361328
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(390, 246)",4.987293499153675
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(474, 204)",5.704215201584689
Arc,"(474, 204)","(390, 246)",4.987293499153675
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(471, 204)","(391, 245)",4.773788651964667
Arc,"(391, 245)","(476, 334)",6.535511912746157
Arc,"(476, 334)","(560, 266)",5.73920920324602
Arc,"(560, 266)","(471, 204)",5.760054599603352
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(390, 246)",4.987293499153675
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(473, 204)","(390, 246)",4.939852554480881
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(559, 268)",6.012770766921377
Arc,"(559, 268)","(474, 204)",5.650319807868407
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(473, 204)",5.747311100364828
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 267)",6.086887333073232
Arc,"(560, 267)","(474, 204)",5.66128937659323
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(473, 204)",5.747311100364828
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(474, 204)",5.630069940529246
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(468, 334)",6.37098081170412
Arc,"(468, 334)","(559, 267)",6.001033939866841
Arc,"(559, 267)","(474, 204)",5.618537523501048
Arc,"(471, 204)","(390, 246)",4.8453232462247655
Arc,"(390, 246)","(476, 334)",6.534217281960684
Arc,"(476, 334)","(560, 266)",5.73920920324602
Arc,"(560, 266)","(471, 204)",5.760054599603352
Arc,"(473, 204)","(390, 246)",4.939852554480881
Arc,"(390, 246)","(467, 334)",6.209584499007177
Arc,"(467, 334)","(560, 266)",6.1180804232557975
Arc,"(560, 266)","(473, 204)",5.6732319885329465
Arc,"(473, 204)","(391, 242)",4.799417148294048
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 267)",6.130053194831249
Arc,"(561, 267)","(473, 204)",5.747311100364828
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(391, 242)",4.8476507704354885
Arc,"(391, 242)","(467, 334)",6.337028043324712
Arc,"(467, 334)","(561, 271)",6.009252125773316
Arc,"(561, 271)","(474, 204)",5.831338793651039
Arc,"(474, 204)","(391, 242)",4.8476507704354885
