epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,528.822,1.88928,4.80787,1.99451,0,0,0,0,1.19821,5.02097,1.34974,0.00033201,0.00011067,0.00033201,0.00011067,0.00033201,0.00011067,0.00033201,0.00011067
2,976.388,1.81461,4.80286,1.92855,0,0,0,0,1.21888,4.98236,1.33781,0.00066805,0.000222683,0.00066805,0.000222683,0.00066805,0.000222683,0.00066805,0.000222683
3,1324.41,1.76573,4.72358,1.86431,0.01524,0.13105,0.01594,0.01079,1.27962,4.91748,1.34639,0.000997304,0.000332435,0.000997304,0.000332435,0.000997304,0.000332435,0.000997304,0.000332435
4,1622.1,1.65675,4.63237,1.7362,0.00849,0.39443,0.04546,0.02975,1.35618,4.83429,1.4326,0.00103919,0.000346397,0.00103919,0.000346397,0.00103919,0.000346397,0.00103919,0.000346397
5,1913.95,1.62924,4.45347,1.74828,0.99781,0.02905,0.04626,0.02673,1.47266,4.10526,1.52362,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863
6,2207.28,1.57897,4.16687,1.7293,0.99412,0.0319,0.05051,0.02001,1.59435,5.13057,1.59806,0.00101799,0.000339329,0.00101799,0.000339329,0.00101799,0.000339329,0.00101799,0.000339329
7,2486.55,1.52216,4.00884,1.7095,0.62363,0.06607,0.06412,0.02762,1.64698,4.35846,1.63592,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794
8,2780.18,1.44396,3.88906,1.65931,0.67351,0.05792,0.0709,0.03821,1.50409,4.10159,1.54885,0.00099678,0.00033226,0.00099678,0.00033226,0.00099678,0.00033226,0.00099678,0.00033226
9,3065.96,1.4214,3.7438,1.61305,0.69784,0.05932,0.08353,0.04388,1.59414,4.02016,1.62535,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726
10,3338.43,1.36653,3.65776,1.5646,0.69442,0.09921,0.10342,0.05811,1.62238,3.89026,1.67981,0.000975574,0.000325191,0.000975574,0.000325191,0.000975574,0.000325191,0.000975574,0.000325191
11,3610.29,1.41065,3.5118,1.60821,0.60762,0.15305,0.11378,0.06671,1.59472,3.73567,1.66683,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657
12,3890.66,1.37784,3.5082,1.57747,0.63057,0.18653,0.12361,0.07588,1.55381,3.6658,1.62723,0.000954368,0.000318123,0.000954368,0.000318123,0.000954368,0.000318123,0.000954368,0.000318123
13,4201.79,1.31106,3.35607,1.53687,0.68781,0.18046,0.13789,0.0862,1.52709,3.56908,1.60987,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588
14,4459.57,1.34485,3.37974,1.56088,0.69998,0.1787,0.16287,0.10552,1.50846,3.51561,1.59552,0.000933162,0.000311054,0.000933162,0.000311054,0.000933162,0.000311054,0.000933162,0.000311054
15,4719.81,1.32396,3.31608,1.54719,0.68689,0.21809,0.17622,0.11403,1.48328,3.43665,1.58593,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752
16,4974.34,1.30419,3.25779,1.52995,0.71374,0.19418,0.19063,0.12528,1.47573,3.3485,1.58565,0.000911956,0.000303986,0.000911956,0.000303986,0.000911956,0.000303986,0.000911956,0.000303986
17,5227.24,1.28738,3.12396,1.52538,0.66542,0.23453,0.20027,0.13126,1.49992,3.25413,1.59807,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451
18,5482.52,1.26647,3.07127,1.47316,0.64049,0.24149,0.22388,0.15451,1.35958,3.175,1.49434,0.000890751,0.000296917,0.000890751,0.000296917,0.000890751,0.000296917,0.000890751,0.000296917
