epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6177,2.14438,20.8063,1.81317,0.00136,0.09669,0.02047,0.00973,2.47339,20.5795,2.04927,0.00031,0.00031,0.06931
2,55.2253,2.03685,15.0846,1.73753,0.64695,0.16111,0.1358,0.07599,2.11747,16.0341,1.92742,0.000623763,0.000623763,0.0376238
3,75.5562,2.00822,12.6342,1.67714,0.53951,0.29166,0.23086,0.11024,2.43379,15.378,2.10573,0.00093119,0.00093119,0.00593119
4,96.5907,1.97419,11.1166,1.65393,0.59849,0.29578,0.30592,0.16161,2.08513,13.0648,1.76396,0.0009703,0.0009703,0.0009703
5,119.718,1.95462,10.7223,1.60948,0.44312,0.42588,0.32911,0.16488,2.0971,9.65189,1.76779,0.0009604,0.0009604,0.0009604
6,139.512,1.91917,10.2111,1.59433,0.59348,0.42852,0.39374,0.21345,1.9872,8.17292,1.66118,0.0009505,0.0009505,0.0009505
7,159.702,1.863,9.60354,1.56298,0.49262,0.41938,0.39222,0.16589,2.43314,9.06696,1.95598,0.0009406,0.0009406,0.0009406
8,182.931,1.79274,9.08948,1.5177,0.62214,0.47944,0.44303,0.26041,1.80261,9.30742,1.54622,0.0009307,0.0009307,0.0009307
9,204.409,1.76792,8.6659,1.51156,0.5859,0.51893,0.49007,0.28575,1.84593,7.77658,1.5626,0.0009208,0.0009208,0.0009208
10,225.57,1.74243,8.4575,1.49314,0.56314,0.57021,0.52817,0.31407,1.72337,7.34586,1.5071,0.0009109,0.0009109,0.0009109
11,248.584,1.78044,8.07371,1.47879,0.7177,0.4977,0.56911,0.335,1.81036,6.74742,1.50793,0.000901,0.000901,0.000901
12,268.823,1.72277,7.83824,1.48571,0.64409,0.56206,0.63796,0.39149,1.62346,5.96026,1.43859,0.0008911,0.0008911,0.0008911
13,289.196,1.68435,7.81595,1.45226,0.66918,0.58568,0.64961,0.38834,1.73956,5.76193,1.47289,0.0008812,0.0008812,0.0008812
14,317.865,1.69005,7.21863,1.46025,0.67878,0.69759,0.70656,0.38275,1.90923,5.60111,1.5117,0.0008713,0.0008713,0.0008713
15,340.247,1.6889,7.37398,1.44068,0.73813,0.68324,0.73568,0.42029,1.77619,5.16247,1.48331,0.0008614,0.0008614,0.0008614
16,360.705,1.68431,7.12495,1.44299,0.73576,0.67681,0.74968,0.4482,1.78634,5.27361,1.47794,0.0008515,0.0008515,0.0008515
17,379.744,1.6914,6.8557,1.45253,0.81012,0.66848,0.7441,0.4657,1.55302,5.01084,1.36314,0.0008416,0.0008416,0.0008416
18,399.155,1.66237,6.58134,1.47159,0.69881,0.782,0.80509,0.47965,1.69012,5.12392,1.43383,0.0008317,0.0008317,0.0008317
19,418.276,1.63646,6.6505,1.44051,0.70008,0.66867,0.74366,0.44956,1.71116,5.24581,1.44282,0.0008218,0.0008218,0.0008218
20,437.185,1.59391,6.3567,1.40773,0.76355,0.72338,0.79155,0.43194,2.00955,5.43686,1.61407,0.0008119,0.0008119,0.0008119
21,455.516,1.61486,6.34053,1.4179,0.72692,0.76203,0.82816,0.50513,1.63886,4.76581,1.40076,0.000802,0.000802,0.000802
22,474.492,1.55574,5.98341,1.3602,0.756,0.80406,0.83812,0.51819,1.6298,4.42559,1.39158,0.0007921,0.0007921,0.0007921
23,493.503,1.57434,6.17205,1.40423,0.81956,0.67229,0.79732,0.51495,1.51992,4.64317,1.34043,0.0007822,0.0007822,0.0007822
24,512.777,1.58925,6.18067,1.38278,0.828,0.72755,0.83743,0.52271,1.62725,4.34445,1.35377,0.0007723,0.0007723,0.0007723
25,531.547,1.56071,6.06821,1.39383,0.81623,0.74518,0.83688,0.4783,1.78243,4.54568,1.46073,0.0007624,0.0007624,0.0007624
26,551.837,1.61776,6.05783,1.3695,0.81035,0.81552,0.86716,0.5422,1.63689,4.28505,1.3952,0.0007525,0.0007525,0.0007525
27,571.827,1.54787,5.37497,1.39874,0.7913,0.84911,0.8874,0.59316,1.39157,3.87093,1.29593,0.0007426,0.0007426,0.0007426
28,591.424,1.50442,5.48515,1.35238,0.78492,0.86179,0.89208,0.55356,1.61319,4.01271,1.39348,0.0007327,0.0007327,0.0007327
29,611.453,1.53591,5.57295,1.35791,0.83961,0.77631,0.83582,0.5313,1.62145,4.13922,1.3749,0.0007228,0.0007228,0.0007228
30,630.651,1.50814,5.35017,1.33393,0.81254,0.83389,0.87542,0.51547,1.7184,4.3262,1.4105,0.0007129,0.0007129,0.0007129
31,650.665,1.5373,5.58927,1.38794,0.75726,0.87707,0.86979,0.52105,1.6819,3.90416,1.40363,0.000703,0.000703,0.000703
32,670.882,1.55212,5.50916,1.37166,0.84161,0.80254,0.88395,0.56817,1.53801,3.89673,1.34162,0.0006931,0.0006931,0.0006931
33,690.015,1.51404,5.50092,1.32493,0.72888,0.89084,0.88289,0.59782,1.41267,4.61925,1.27389,0.0006832,0.0006832,0.0006832
34,709.642,1.4789,5.20896,1.33203,0.82909,0.79641,0.87334,0.53897,1.68902,3.78215,1.41127,0.0006733,0.0006733,0.0006733
35,728.889,1.47461,5.04158,1.31659,0.7517,0.92771,0.92131,0.5881,1.53996,3.65604,1.36093,0.0006634,0.0006634,0.0006634
36,751.107,1.51553,5.20457,1.35459,0.76743,0.91197,0.93394,0.61054,1.44023,3.45313,1.32581,0.0006535,0.0006535,0.0006535
37,774.285,1.47545,4.91081,1.33345,0.86305,0.91875,0.94667,0.60048,1.56488,3.51582,1.36016,0.0006436,0.0006436,0.0006436
38,794.659,1.46596,4.90803,1.31793,0.82404,0.92187,0.94019,0.60446,1.55821,3.54859,1.33807,0.0006337,0.0006337,0.0006337
39,813.695,1.49105,4.88506,1.31183,0.79708,0.92938,0.93647,0.66171,1.2925,3.27862,1.20823,0.0006238,0.0006238,0.0006238
40,835.077,1.49976,4.94202,1.34819,0.86661,0.87952,0.94687,0.58113,1.67959,3.58956,1.36982,0.0006139,0.0006139,0.0006139
41,855.371,1.47252,4.94421,1.31376,0.89432,0.90621,0.95345,0.63576,1.44851,3.24057,1.28572,0.000604,0.000604,0.000604
42,875.511,1.46371,4.82323,1.29954,0.88904,0.88159,0.95871,0.65747,1.37051,3.24858,1.25599,0.0005941,0.0005941,0.0005941
43,893.541,1.45142,4.67241,1.314,0.84789,0.94805,0.96077,0.63388,1.46365,3.32925,1.3022,0.0005842,0.0005842,0.0005842
44,912.358,1.41135,4.57759,1.27262,0.91233,0.88079,0.96285,0.65832,1.4159,3.14122,1.27711,0.0005743,0.0005743,0.0005743
45,931.961,1.43118,4.50162,1.2937,0.88853,0.88547,0.94585,0.62964,1.46891,3.29544,1.31484,0.0005644,0.0005644,0.0005644
46,953.963,1.419,4.54426,1.2835,0.86878,0.94024,0.97058,0.66073,1.44209,3.26559,1.29,0.0005545,0.0005545,0.0005545
47,978.482,1.4278,4.38544,1.30037,0.83979,0.92655,0.95927,0.65161,1.47017,3.27113,1.2828,0.0005446,0.0005446,0.0005446
