epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0943,1.9012,19.306,1.71286,0.63299,0.07936,0.11377,0.0491,2.78294,19.7059,2.51224,0.000328947,0.000328947,0.0674342
2,38.4848,1.84276,13.7691,1.67012,0.42913,0.33241,0.25,0.0883,2.8886,21.2797,2.46024,0.000655724,0.000655724,0.0344277
3,56.34,1.89089,11.5315,1.7004,0.4189,0.43616,0.3406,0.1201,3.29693,15.1928,2.5297,0.000975901,0.000975901,0.0014145
4,74.1126,1.86604,10.4235,1.63916,0.36428,0.37968,0.33452,0.15209,2.72173,13.1996,2.19711,0.0009703,0.0009703,0.0009703
5,91.7867,1.79516,9.56844,1.59228,0.3565,0.45421,0.36539,0.16317,2.7022,12.2031,2.10339,0.0009604,0.0009604,0.0009604
6,109.529,1.75501,8.91513,1.58019,0.52816,0.50654,0.547,0.23613,2.73088,9.99679,2.18491,0.0009505,0.0009505,0.0009505
7,127.596,1.76652,8.67601,1.5946,0.57473,0.56554,0.57996,0.23022,2.92369,8.9676,2.27769,0.0009406,0.0009406,0.0009406
8,145.961,1.73184,8.0541,1.56785,0.52573,0.53686,0.55183,0.26042,2.61724,10.0046,2.03561,0.0009307,0.0009307,0.0009307
9,164.078,1.69516,7.81148,1.53945,0.60967,0.60993,0.63733,0.27924,2.65171,8.11524,2.06715,0.0009208,0.0009208,0.0009208
10,182.251,1.65756,7.48618,1.49773,0.61028,0.6638,0.64742,0.30788,2.4875,8.26739,2.02161,0.0009109,0.0009109,0.0009109
11,200.528,1.63505,7.318,1.47431,0.58623,0.62175,0.62964,0.30696,2.46871,8.38083,1.95313,0.000901,0.000901,0.000901
12,218.949,1.69163,7.25524,1.5096,0.60137,0.58332,0.62258,0.25248,2.77491,8.65537,2.08474,0.0008911,0.0008911,0.0008911
13,237.778,1.64546,7.05881,1.49577,0.65467,0.68302,0.69094,0.29657,2.74478,7.54754,2.1591,0.0008812,0.0008812,0.0008812
14,256.648,1.57333,6.51418,1.45009,0.6699,0.68112,0.68444,0.31407,2.71365,7.43542,2.07481,0.0008713,0.0008713,0.0008713
15,275.25,1.57362,6.44918,1.46555,0.68168,0.65985,0.65764,0.32345,2.51787,7.05675,1.91907,0.0008614,0.0008614,0.0008614
16,294.103,1.56561,6.25083,1.44915,0.65558,0.69709,0.68473,0.34809,2.40569,7.20835,1.91671,0.0008515,0.0008515,0.0008515
17,312.912,1.52095,5.95033,1.39722,0.68675,0.701,0.71525,0.33129,2.56333,6.66238,2.0561,0.0008416,0.0008416,0.0008416
18,331.508,1.54087,6.02077,1.41476,0.70058,0.71275,0.72083,0.35321,2.50986,6.69517,1.97907,0.0008317,0.0008317,0.0008317
19,350.496,1.54955,5.83023,1.42144,0.74608,0.72708,0.73546,0.33134,2.68322,6.7835,2.10991,0.0008218,0.0008218,0.0008218
20,369.37,1.52071,5.82887,1.41884,0.72011,0.7367,0.7333,0.34299,2.63633,6.83812,2.0067,0.0008119,0.0008119,0.0008119
21,387.625,1.51233,5.67327,1.40345,0.75883,0.65718,0.70869,0.3424,2.55665,6.84467,1.96679,0.000802,0.000802,0.000802
22,405.251,1.49824,5.5153,1.38441,0.75639,0.69757,0.72222,0.34079,2.69327,6.70389,2.12818,0.0007921,0.0007921,0.0007921
23,422.92,1.50007,5.57116,1.39357,0.74405,0.6893,0.73483,0.37003,2.49158,6.55859,1.9768,0.0007822,0.0007822,0.0007822
24,440.669,1.48004,5.40463,1.39412,0.72183,0.6993,0.70966,0.34224,2.56436,6.60436,1.99892,0.0007723,0.0007723,0.0007723
25,459.571,1.48215,5.43192,1.39997,0.72114,0.71954,0.73371,0.36913,2.44473,6.72021,1.94598,0.0007624,0.0007624,0.0007624
26,478.528,1.45826,5.40953,1.37675,0.75341,0.67312,0.72184,0.31513,2.79637,6.96069,2.17982,0.0007525,0.0007525,0.0007525
27,496.158,1.42026,5.01603,1.33475,0.74176,0.72372,0.73872,0.3694,2.52309,6.62792,1.95387,0.0007426,0.0007426,0.0007426
28,513.734,1.49745,5.29721,1.40216,0.7452,0.71402,0.72346,0.32205,2.73503,6.25476,2.13143,0.0007327,0.0007327,0.0007327
29,531.295,1.45926,5.19765,1.37006,0.74854,0.72151,0.74425,0.3749,2.50688,6.16259,1.97393,0.0007228,0.0007228,0.0007228
30,548.9,1.38927,4.87081,1.33187,0.76517,0.69412,0.73992,0.37296,2.50891,6.28561,2.00413,0.0007129,0.0007129,0.0007129
