epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,373.621,2.74885,62.728,2.15762,0.06014,0.1074,0.06171,0.04677,2.05548,30.3132,1.60866,0.000353567,0.000117856,0.000353567,0.000117856,0.000353567,0.000117856,0.000353567,0.000117856
2,938.828,2.47095,38.1462,2.02897,0.50075,0.20569,0.18105,0.10949,2.22622,21.6322,1.76304,0.000705878,0.000235293,0.000705878,0.000235293,0.000705878,0.000235293,0.000705878,0.000235293
3,1481.97,2.1767,25.305,1.802,0.40018,0.37505,0.33198,0.1859,2.42135,17.2427,1.88703,0.00105348,0.000351158,0.00105348,0.000351158,0.00105348,0.000351158,0.00105348,0.000351158
4,2024.16,1.99752,18.1468,1.6686,0.46448,0.48203,0.48085,0.25847,2.47228,15.0817,1.84298,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931
5,2571.76,1.84336,13.8939,1.55925,0.51098,0.58372,0.58064,0.29878,2.54336,13.8815,1.82595,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575
6,3123.23,1.75421,11.7229,1.51083,0.61097,0.63225,0.65526,0.34985,2.51566,12.6772,1.82324,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219
7,3689.05,1.7108,10.2771,1.48363,0.67096,0.62107,0.67839,0.36482,2.52977,12.392,1.85474,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863
8,4240.61,1.63574,9.12172,1.42633,0.64007,0.6762,0.69331,0.37308,2.58084,12.2805,1.89713,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507
9,4783.88,1.58866,8.5462,1.41358,0.67948,0.65205,0.70178,0.38064,2.52525,11.8675,1.90126,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815
10,5331.68,1.51957,8.0419,1.37976,0.67217,0.67586,0.70861,0.39318,2.47939,12.1332,1.88301,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794
11,5908.63,1.4941,7.34396,1.3574,0.69086,0.67407,0.71606,0.38636,2.59399,12.0015,1.95773,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438
12,6421.91,1.52587,7.09239,1.38272,0.70225,0.68146,0.71429,0.39754,2.55431,11.7276,1.94562,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082
13,6993.92,1.4771,6.82595,1.35123,0.70792,0.69963,0.72827,0.41209,2.4832,11.5808,1.90919,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726
14,7573.75,1.44574,6.46844,1.32681,0.71733,0.69684,0.73603,0.40841,2.52052,11.6914,1.94876,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369
15,8096.06,1.41832,6.40291,1.33259,0.7182,0.69992,0.73376,0.40998,2.53626,11.5909,1.97265,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013
16,8664.29,1.39791,6.0712,1.31651,0.72904,0.70266,0.73497,0.40592,2.60732,11.2632,2.02926,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657
17,9239.38,1.40984,6.04569,1.31886,0.74468,0.69751,0.73816,0.42194,2.50566,11.2624,1.98112,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301
18,9782.37,1.4003,5.85723,1.29413,0.73148,0.70632,0.73799,0.41521,2.54799,11.3733,2.01178,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945
19,10336.6,1.35755,5.72808,1.27989,0.72125,0.71355,0.73852,0.4096,2.56502,11.3411,2.05818,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588
20,10874.5,1.37186,5.62555,1.28402,0.73853,0.69174,0.74028,0.41179,2.56218,11.3221,2.03855,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232
21,11416,1.36671,5.56679,1.28501,0.72575,0.70744,0.73913,0.41828,2.52207,11.4658,2.0032,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876
22,11958.8,1.3344,5.30631,1.26867,0.73753,0.68371,0.73703,0.42275,2.48648,11.3913,1.99244,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752
23,12535.8,1.36049,5.46638,1.2888,0.73399,0.69677,0.73658,0.41371,2.55771,11.5435,2.06786,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164
24,22778.6,1.32866,5.31813,1.26896,0.73379,0.70476,0.7387,0.42253,2.50213,11.2811,2.02243,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807
25,23338.1,1.29805,5.20362,1.25703,0.72847,0.70777,0.73213,0.40618,2.66632,11.4141,2.14355,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451
26,23952.8,1.29316,5.01025,1.24542,0.74304,0.70507,0.7428,0.42843,2.54222,11.1782,2.06414,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095
27,24622.6,1.33675,5.06138,1.26556,0.73578,0.7048,0.74005,0.4324,2.49838,11.4751,2.02012,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739
28,25253.8,1.28175,5.03581,1.24213,0.74459,0.72387,0.74644,0.43204,2.54473,10.8819,2.06308,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383
29,25923,1.28029,4.97437,1.24976,0.74108,0.70529,0.74371,0.43298,2.55384,10.9968,2.11884,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026
30,26543.6,1.28176,4.8685,1.24831,0.7374,0.72236,0.74532,0.43523,2.49317,10.8774,2.07518,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867
31,27131.1,1.26635,4.92372,1.24769,0.76296,0.70443,0.74402,0.44465,2.46395,10.6653,2.00803,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314
32,27713,1.25119,4.72054,1.22663,0.75291,0.70376,0.7416,0.44003,2.50922,10.5747,2.07415,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958
33,28314.2,1.25771,4.76454,1.23884,0.74915,0.702,0.73802,0.43835,2.50029,10.8102,2.05951,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602
34,28908.7,1.25217,4.69155,1.2231,0.74732,0.71691,0.74378,0.42706,2.602,10.6145,2.17055,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245
35,29510.2,1.23748,4.71068,1.22164,0.74774,0.70724,0.74258,0.439,2.52852,10.7111,2.11411,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889
36,29933.7,1.23718,4.58839,1.23539,0.74395,0.71656,0.74532,0.4427,2.50362,10.6811,2.07112,0.000823599,0.000274533,0.000823599,0.000274533,0.000823599,0.000274533,0.000823599,0.000274533
37,30363.8,1.23407,4.64176,1.22549,0.75236,0.70542,0.74678,0.44419,2.51465,10.5159,2.07957,0.00081653,0.000272177,0.00081653,0.000272177,0.00081653,0.000272177,0.00081653,0.000272177
38,30950.4,1.23549,4.57527,1.21744,0.75161,0.7096,0.74722,0.44653,2.47502,10.728,2.10363,0.000809462,0.000269821,0.000809462,0.000269821,0.000809462,0.000269821,0.000809462,0.000269821
39,31533.3,1.24377,4.67954,1.23213,0.74875,0.71288,0.74271,0.44395,2.51703,10.4603,2.10819,0.000802393,0.000267464,0.000802393,0.000267464,0.000802393,0.000267464,0.000802393,0.000267464
40,32092.4,1.23538,4.56094,1.22007,0.73898,0.70542,0.74132,0.44288,2.43076,11.1869,2.0957,0.000795325,0.000265108,0.000795325,0.000265108,0.000795325,0.000265108,0.000795325,0.000265108
41,32674.6,1.22446,4.4714,1.22358,0.7328,0.71655,0.74203,0.43292,2.56399,10.8266,2.16915,0.000788256,0.000262752,0.000788256,0.000262752,0.000788256,0.000262752,0.000788256,0.000262752
42,33266.1,1.22896,4.59381,1.22769,0.742,0.70645,0.74594,0.43447,2.53154,11.1126,2.16293,0.000781187,0.000260396,0.000781187,0.000260396,0.000781187,0.000260396,0.000781187,0.000260396
43,33726.2,1.16576,4.30255,1.18212,0.75649,0.70102,0.74337,0.438,2.51331,11.0537,2.10943,0.000774119,0.00025804,0.000774119,0.00025804,0.000774119,0.00025804,0.000774119,0.00025804
44,34282.9,1.18537,4.24637,1.20613,0.75023,0.71621,0.7463,0.44262,2.52789,11.0199,2.13526,0.00076705,0.000255683,0.00076705,0.000255683,0.00076705,0.000255683,0.00076705,0.000255683
45,34862.8,1.18506,4.35301,1.20343,0.7721,0.7024,0.75141,0.44546,2.56143,10.5761,2.16804,0.000759982,0.000253327,0.000759982,0.000253327,0.000759982,0.000253327,0.000759982,0.000253327
46,35393.5,1.19676,4.2904,1.20355,0.75439,0.71766,0.75173,0.45079,2.50439,10.9507,2.12008,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971
47,35917.2,1.19308,4.27846,1.19837,0.7401,0.72081,0.74936,0.44529,2.58264,10.4736,2.19705,0.000745844,0.000248615,0.000745844,0.000248615,0.000745844,0.000248615,0.000745844,0.000248615
48,36428.3,1.18305,4.21036,1.19793,0.75299,0.70398,0.74244,0.43945,2.60239,10.6674,2.22328,0.000738776,0.000246259,0.000738776,0.000246259,0.000738776,0.000246259,0.000738776,0.000246259
49,37029.2,1.20255,4.28285,1.19954,0.75487,0.70499,0.74813,0.4479,2.5699,10.2539,2.21878,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902
50,37643.6,1.17982,4.14729,1.19611,0.74998,0.70713,0.74433,0.44039,2.55686,10.5285,2.20822,0.000724639,0.000241546,0.000724639,0.000241546,0.000724639,0.000241546,0.000724639,0.000241546
51,38227.5,1.178,4.15787,1.19326,0.75265,0.69492,0.73807,0.44888,2.50076,10.6793,2.15959,0.00071757,0.00023919,0.00071757,0.00023919,0.00071757,0.00023919,0.00071757,0.00023919
52,38836,1.16627,4.20252,1.1865,0.74066,0.70333,0.74255,0.44433,2.49371,11.0662,2.16171,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834
53,39363.3,1.15459,4.22558,1.17877,0.74857,0.71064,0.74621,0.44993,2.48244,10.7406,2.16996,0.000703433,0.000234478,0.000703433,0.000234478,0.000703433,0.000234478,0.000703433,0.000234478
54,39937,1.17337,4.27959,1.18886,0.74205,0.70827,0.74252,0.44919,2.51705,10.7212,2.18353,0.000696364,0.000232121,0.000696364,0.000232121,0.000696364,0.000232121,0.000696364,0.000232121
55,40513.7,1.1421,4.15366,1.1863,0.74076,0.71055,0.74544,0.43555,2.54028,10.4476,2.20528,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765
56,41007.9,1.15415,4.11413,1.17905,0.75479,0.69622,0.74369,0.44133,2.55195,10.5977,2.22097,0.000682227,0.000227409,0.000682227,0.000227409,0.000682227,0.000227409,0.000682227,0.000227409
57,41488.5,1.16346,4.15431,1.19026,0.75082,0.70811,0.7505,0.45683,2.48159,10.0711,2.20702,0.000675158,0.000225053,0.000675158,0.000225053,0.000675158,0.000225053,0.000675158,0.000225053
58,41999.8,1.15178,4.06922,1.18285,0.7554,0.70266,0.74454,0.44384,2.56971,10.4542,2.22732,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697
59,42459.3,1.11964,3.98529,1.16009,0.74026,0.71944,0.74951,0.45045,2.47611,10.6787,2.17581,0.000661021,0.00022034,0.000661021,0.00022034,0.000661021,0.00022034,0.000661021,0.00022034
60,42938.7,1.1641,4.07356,1.1885,0.7548,0.70527,0.74579,0.451,2.50159,10.2858,2.16605,0.000653953,0.000217984,0.000653953,0.000217984,0.000653953,0.000217984,0.000653953,0.000217984
61,43454.3,1.13524,4.04754,1.17235,0.75639,0.70739,0.74711,0.44714,2.48995,10.6824,2.15077,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628
62,43953.1,1.13319,3.97148,1.16834,0.75155,0.71604,0.74678,0.44771,2.49619,10.6353,2.20445,0.000639815,0.000213272,0.000639815,0.000213272,0.000639815,0.000213272,0.000639815,0.000213272
63,44515.7,1.11569,3.99696,1.17176,0.73932,0.71437,0.74275,0.45004,2.53578,10.4797,2.20186,0.000632747,0.000210916,0.000632747,0.000210916,0.000632747,0.000210916,0.000632747,0.000210916
64,45053.6,1.16302,4.0606,1.18972,0.73835,0.71848,0.74549,0.45349,2.5321,10.1197,2.20622,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559
65,45586.5,1.14876,4.09256,1.18618,0.75024,0.71608,0.74358,0.45409,2.55162,10.1333,2.24075,0.00061861,0.000206203,0.00061861,0.000206203,0.00061861,0.000206203,0.00061861,0.000206203
66,46125.3,1.13542,3.99276,1.16652,0.74122,0.71916,0.7442,0.4607,2.4823,10.0347,2.20372,0.000611541,0.000203847,0.000611541,0.000203847,0.000611541,0.000203847,0.000611541,0.000203847
67,46663.2,1.13494,3.92484,1.17771,0.74698,0.71846,0.74662,0.45038,2.53094,10.2875,2.2519,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491
